,name,cat,food_cat,food_rank,service_rank,price_rank,review_num,ranking_pos,ad_cat,pri_rate,address
836,Paul Bassett Ferrum Tower,restaurant,Cafe,40,35,35,13,1517,Jung-gu,4.0,"19, Eulji-ro 5-gil, Jung-gu, Seoul 04539 South Korea"
837,Outback Dogok Store,restaurant,Steakhouse,40,40,35,15,1522,Samseongdong / COEX,4.5,"B-101, 651, Daechi-dong, Gangnam-gu, Seoul 135-280 South Korea"
838,GogiJuneun NaengmyeonJip Myeongdong 1,restaurant,Asian,40,40,45,15,1523,Myeongdong / Namdaemun,4.0,"2F 22-2 Chungmuro 1-ga, Jung-gu, Seoul 04556 South Korea"
839,Gyeongseong Pazzip Oknumong Dongdaemun,restaurant,Asian,40,30,30,20,1526,Jung-gu,4.0,"281, Eulji-ro, Jung-gu B2F-11, Dongdaemun Design Plaza, Seoul 04566 South Korea"
840,On The Border Gwanghwamun D-Tower,restaurant,Mexican,45,45,40,17,1527,Jongno 1.2.3.4 ga-dong,4.0,"17, Jong-ro 3-gil, Jongno-gu 2F, D Tower, Seoul 03155 South Korea"
841,Starbucks - Korea Nat'l Univ. of Education,restaurant,Cafe,40,45,40,21,1528,Seocho-dong,4.0,"118, Seochojungang-ro, Seocho-gu KAIS System Bldg., Seoul 06634 South Korea"
842,Le Brunchic,restaurant,Cafe,50,40,30,12,1530,Sinsa / Garosugil,4.5,"524-35, Sinsa-dong, Gangnam-gu, Seoul South Korea"
843,Seorin Nakji,restaurant,Asian,40,40,30,18,1537,Jongno 1.2.3.4 ga-dong,4.0,"2F 24, Jongno 1-ga, Jongno-gu, Seoul South Korea"
844,Aangan,restaurant,Asian,45,50,45,14,1541,Seodaemun,4.5,"Daehyeondong 56-51 63 Ihwayeodae-Gil, Seoul 03766 South Korea"
845,Myeongdong Samgyetang,restaurant,Asian,45,35,35,13,1543,Myeongdong / Namdaemun,4.0,"64, Sogong-ro, Jung-gu, Seoul 04535 South Korea"
